comname,ticker,esg_0_100
SP GROUP A/S,SPG,42.9
STARBUCKS CORPORATION,SBUX,74.0
STATE STREET CORPORATION,STT,81.4
"STEEL DYNAMICS, INC.",STLD,65.2
STERIS PUBLIC LIMITED COMPANY,STE,58.4
STOKVIS NORD AFRIQUE (STE) SA,SNA,19.1
STRIDE PROPERTY LIMITED,SPG,45.9
STRIKE ENERGY LIMITED,STX,23.9
STRYKER CORPORATION,SYK,75.6
SUPER GROUP LIMITED,SPG,52.7
"SUPER MICRO COMPUTER, INC.",SMCI,34.8
SYNCHRONY FINANCIAL,SYF,64.9
"SYNOPSYS, INC.",SNPS,69.1
SYSCO CORPORATION,SYY,61.6
Sirius Real Estate Limited,SRE,57.4
"T-MOBILE US, INC.",TMUS,58.7
"T. ROWE PRICE GROUP, INC.",TROW,53.9
"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,50.2
"TAPESTRY, INC.",TPR,69.5
TARGA RESOURCES CORP.,TRGP,63.3
TARGET CORPORATION,TGT,83.1
TELEDYNE TECHNOLOGIES INCORPORATED,TDY,39.0
TELENOR ASA,TEL,56.9
TELUS Corp,T,71.1
"TERADYNE, INC.",TER,62.6
TERRACOM LIMITED,TER,19.0
TESCO PLC,TSCO,75.4
TEXAS INSTRUMENTS INCORPORATED,TXN,64.7
TEXAS PACIFIC LAND CORPORATION,TPL,51.0
TEXTRON INC.,TXT,68.4
THE ALLSTATE CORPORATION,ALL,76.7
THE BANK OF NEW YORK MELLON CORPORATION,BK,84.9
THE BOEING COMPANY,BA,79.5
THE CAMPBELL'S COMPANY,CPB,60.5
THE CHARLES SCHWAB CORPORATION,SCHW,52.0
THE CIGNA GROUP,CI,69.9
THE COCA-COLA COMPANY,KO,64.1
THE ESTEE LAUDER COMPANIES INC.,EL,67.1
"THE GOLDMAN SACHS GROUP, INC.",GS,83.6
"THE HARTFORD INSURANCE GROUP, INC.",HIG,75.4
THE HERSHEY COMPANY,HSY,83.2
"THE HOME DEPOT, INC.",HD,72.8
"THE INTERPUBLIC GROUP OF COMPANIES, INC.",IPG,85.0
THE J. M. SMUCKER COMPANY,SJM,70.1
THE KRAFT HEINZ COMPANY,KHC,62.5
THE KROGER CO.,KR,78.8
THE MOSAIC COMPANY,MOS,70.1
"THE PNC FINANCIAL SERVICES GROUP, INC.",PNC,71.7
THE PROCTER & GAMBLE COMPANY,PG,60.0
THE PROGRESSIVE CORPORATION,PGR,68.8
THE SHERWIN-WILLIAMS COMPANY,SHW,68.7
THE SOUTHERN COMPANY,SO,61.8
"THE TJX COMPANIES, INC.",TJX,70.1
THE WALT DISNEY COMPANY,DIS,67.5
"THE WILLIAMS COMPANIES, INC.",WMB,74.8
THERMO FISHER SCIENTIFIC INCORPORATED,TMO,78.4
TIKEHAU CAPITAL SCA,TKO,47.3
TIME OUT GROUP PLC,TMO,12.8
TRACTOR SUPPLY COMPANY,TSCO,82.8
TRANE TECHNOLOGIES PLC,TT,75.8
TRANSDIGM GROUP INCORPORATED,TDG,50.7
"TYSON FOODS, INCORPORATED",TSN,60.1
Taseko Mines Limited,TKO,45.4
"The Travelers Companies, Inc.",TRV,63.1
Truist Financial Corporation,TFC,72.8
U.S. BANCORP,USB,65.0
"UBER TECHNOLOGIES, INC.",UBER,75.8
"UDR, INC.",UDR,62.8
"ULTA BEAUTY, INC.",ULTA,60.4
UNION PACIFIC CORPORATION,UNP,74.5
"UNITED AIRLINES HOLDINGS, INC.",UAL,58.1
"UNITED PARCEL SERVICE, INC.",UPS,61.8
"UNITED RENTALS, INC.",URI,79.0
UNITEDHEALTH GROUP INCORPORATED,UNH,72.7
"UNIVERSAL HEALTH SERVICES, INC.",UHS,40.3
V.F. CORPORATION,VFC,63.5
VALERO ENERGY CORPORATION,VLO,65.5
VANQUIS BANKING GROUP PLC,PFG,53.7
"VENTAS, INC.",VTR,80.7
"VERISIGN, INC.",VRSN,61.1
"VERISK ANALYTICS, INC.",VRSK,68.7
VERIZON COMMUNICATIONS INC.,VZ,69.1
VERTEX PHARMACEUTICALS INCORPORATED,VRTX,58.6
VIATRIS INC.,VTRS,71.8
VICI PROPERTIES INC.,VICI,76.8
VINCI SA,DG,87.0
VISA INC.,V,70.4
VISTRA CORP.,VST,69.2
VULCAN MATERIALS COMPANY,VMC,47.2
Von Roll Holding AG,ROL,35.9
W. R. BERKLEY CORPORATION,WRB,47.5
"W.W. GRAINGER, INC.",GWW,78.2
WALGREENS HOLDING COMPANY,WBA,89.4
WALLBRIDGE MINING COMPANY LIMITED,WM,20.2
WALMART INC.,WMT,77.6
"WASTE MANAGEMENT, INC.",WM,79.8
WATERS CORPORATION,WAT,75.2
WEBUILD S.P.A.,WBD,74.3
WEC ENERGY GROUP INC.,WEC,62.9
WELL Health Technologies Corp.,WELL,46.6
WELLS FARGO & COMPANY,WFC,72.4
WESTERN DIGITAL CORPORATION,WDC,56.5
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,WAB,64.3
WESTROCK COMPANY,WRK,74.5
WEYERHAEUSER COMPANY,WY,77.4
WHITE ENERGY COMPANY LIMITED,WEC,19.9
"WILLIAMS-SONOMA, INC.",WSM,75.2
"WORKDAY, INC.",WDAY,49.8
"WYNN RESORTS, LIMITED",WYNN,56.1
XYLEM INC.,XYL,78.9
Xcel Energy Inc.,XEL,67.7
"YUM! Brands, Inc.",YUM,79.2
"ZIMMER BIOMET HOLDINGS, INC.",ZBH,60.1
ZOETIS INC.,ZTS,66.0
บริษัท การบินกรุงเทพ จำกัด (มหาชน),BA,44.5
บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),PM,29.9
บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),EA,55.6
บริษัท อาร์ ซี แอล จำกัด (มหาชน),RCL,46.0
บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),LH,63.3
